;authors;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
28;testa g;0.005494505494505495;0.006329113924050633;0.010638297872340425;0.0;0.022988505747126436;0.0;0.0;0.010752688172043012;0.0;0.0;0.019230769230769232;0.056203111210066006;0.0;0.007539771465407509;0.005620311121006601;0.022988505747126436
29;tong a;0.0;0.0;0.0;0.02027027027027027;0.017241379310344827;0.012578616352201259;0.0;0.005376344086021506;0.0;0.0;0.0;0.05546661001883787;0.0;0.008080299772505475;0.005546661001883787;0.02027027027027027
30;danovitch gm;0.0;0.006329113924050633;0.005319148936170213;0.006756756756756757;0.011494252873563218;0.006289308176100629;0.00975609756097561;0.005376344086021506;0.0;0.0;0.01282051282051282;0.05132102231363857;0.0;0.0040329175958328895;0.005132102231363856;0.011494252873563218
31;thiessen c;0.0;0.0;0.0;0.006756756756756757;0.0;0.018867924528301886;0.004878048780487805;0.010752688172043012;0.008298755186721992;0.0;0.0;0.049554173424311454;0.0;0.00636287607906779;0.004955417342431145;0.018867924528301886
32;abt pl;0.005494505494505495;0.0;0.0;0.0;0.011494252873563218;0.0;0.00975609756097561;0.005376344086021506;0.012448132780082987;0.004273504273504274;0.0;0.04884283706865309;0.0;0.004955922722649657;0.004884283706865309;0.012448132780082987
33;sharif a;0.0;0.0;0.005319148936170213;0.006756756756756757;0.005747126436781609;0.006289308176100629;0.00975609756097561;0.010752688172043012;0.004149377593360996;0.0;0.01282051282051282;0.04877050363218882;0.0;0.0038972189713019;0.004877050363218882;0.010752688172043012
34;capron am;0.005494505494505495;0.0;0.0;0.006756756756756757;0.005747126436781609;0.006289308176100629;0.014634146341463415;0.0;0.004149377593360996;0.004273504273504274;0.00641025641025641;0.04734472507247317;0.0;0.0043958860214972605;0.004734472507247317;0.014634146341463415
35;sterckx s;0.0;0.0;0.0;0.013513513513513514;0.011494252873563218;0.012578616352201259;0.004878048780487805;0.0;0.004149377593360996;0.0;0.0;0.046613809113126785;0.0;0.005741490904429269;0.004661380911312679;0.013513513513513514
36;dor fj;0.0;0.0;0.0;0.006756756756756757;0.0;0.025157232704402517;0.014634146341463415;0.0;0.0;0.0;0.0;0.04654813580262269;0.0;0.008666829893891514;0.004654813580262269;0.025157232704402517
37;martin de;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.014634146341463415;0.010752688172043012;0.004149377593360996;0.004273504273504274;0.00641025641025641;0.04638833273257295;0.0;0.005852753988238559;0.0046388332732572955;0.014634146341463415
38;bernat jl;0.01098901098901099;0.0;0.005319148936170213;0.0;0.005747126436781609;0.0;0.00975609756097561;0.005376344086021506;0.008298755186721992;0.0;0.00641025641025641;0.045486483195681916;0.0;0.0043222294639422105;0.004548648319568192;0.01098901098901099
39;dalle ave al;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.024390243902439025;0.010752688172043012;0.0;0.004273504273504274;0.00641025641025641;0.04516356278476792;0.0;0.007872750904652098;0.004516356278476792;0.024390243902439025
40;shaw dm;0.0;0.0;0.0;0.0;0.011494252873563218;0.0;0.01951219512195122;0.005376344086021506;0.0;0.008547008547008548;0.0;0.044929800628544486;0.0;0.006773570697779662;0.004492980062854449;0.01951219512195122
41;rady my;0.016483516483516484;0.006329113924050633;0.010638297872340425;0.006756756756756757;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.04435706263002529;0.0;0.0056867641268756675;0.004435706263002529;0.016483516483516484
42;massey ek;0.0;0.0;0.0;0.0;0.005747126436781609;0.018867924528301886;0.0;0.005376344086021506;0.008298755186721992;0.004273504273504274;0.00641025641025641;0.04256365451133126;0.0;0.005999063092648123;0.004256365451133126;0.018867924528301886
43;cronin aj;0.01098901098901099;0.012658227848101266;0.005319148936170213;0.013513513513513514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04247990128679598;0.0;0.005882585281268118;0.004247990128679598;0.013513513513513514
44;pomahac b;0.0;0.006329113924050633;0.005319148936170213;0.006756756756756757;0.005747126436781609;0.0;0.004878048780487805;0.0;0.012448132780082987;0.0;0.0;0.041478327614330006;0.0;0.004133070637704968;0.004147832761433001;0.012448132780082987
45;kerridge ih;0.0;0.006329113924050633;0.005319148936170213;0.02027027027027027;0.0;0.0;0.004878048780487805;0.0;0.004149377593360996;0.0;0.0;0.040945959504339914;0.0;0.006259130394361464;0.004094595950433991;0.02027027027027027
46;bloom rd;0.01098901098901099;0.0;0.0;0.0;0.011494252873563218;0.012578616352201259;0.0;0.005376344086021506;0.0;0.0;0.0;0.04043822430079697;0.0;0.005542541316891329;0.004043822430079697;0.012578616352201259
47;verheijde jl;0.016483516483516484;0.006329113924050633;0.010638297872340425;0.006756756756756757;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0402076850366643;0.0;0.005858757439516717;0.00402076850366643;0.016483516483516484
48;henderson ml;0.0;0.0;0.005319148936170213;0.0;0.0;0.006289308176100629;0.0;0.016129032258064516;0.012448132780082987;0.0;0.01282051282051282;0.04018562215041834;0.0;0.00597645390279191;0.004018562215041834;0.016129032258064516
49;roth ae;0.005494505494505495;0.0;0.0;0.0;0.0;0.0;0.004878048780487805;0.021505376344086023;0.008298755186721992;0.0;0.0;0.04017668580580131;0.0;0.006863096900979274;0.004017668580580131;0.021505376344086023
50;kulkarni s;0.005494505494505495;0.0;0.0;0.006756756756756757;0.0;0.012578616352201259;0.004878048780487805;0.005376344086021506;0.004149377593360996;0.0;0.00641025641025641;0.03923364906333382;0.0;0.004083228434039172;0.003923364906333382;0.012578616352201259
51;mamode n;0.005494505494505495;0.0;0.0;0.006756756756756757;0.005747126436781609;0.012578616352201259;0.0;0.0;0.004149377593360996;0.004273504273504274;0.00641025641025641;0.03899988690711039;0.0;0.00408894796883493;0.003899988690711039;0.012578616352201259
52;rhodes r;0.02197802197802198;0.006329113924050633;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.004149377593360996;0.0;0.0;0.03874582167153424;0.0;0.006910057044112894;0.0038745821671534236;0.02197802197802198
53;schold jd;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.010752688172043012;0.008298755186721992;0.008547008547008548;0.0;0.03822362712304296;0.0;0.004323851816995352;0.003822362712304296;0.010752688172043012
54;truog rd;0.005494505494505495;0.0;0.005319148936170213;0.006756756756756757;0.005747126436781609;0.006289308176100629;0.0;0.0;0.008298755186721992;0.0;0.0;0.03790560098703669;0.0;0.0033649737748509454;0.0037905600987036695;0.008298755186721992
55;parent b;0.0;0.0;0.0;0.0;0.0;0.0;0.004878048780487805;0.016129032258064516;0.008298755186721992;0.008547008547008548;0.019230769230769232;0.03785284477228286;0.0;0.005603351660715936;0.003785284477228286;0.016129032258064516
56;wright l;0.0;0.006329113924050633;0.005319148936170213;0.006756756756756757;0.0;0.0;0.00975609756097561;0.005376344086021506;0.004149377593360996;0.0;0.0;0.03768683885733572;0.0;0.0035477513660177994;0.0037686838857335717;0.00975609756097561
57;rodrigue jr;0.0;0.0;0.0;0.0;0.0;0.018867924528301886;0.014634146341463415;0.0;0.004149377593360996;0.0;0.00641025641025641;0.0376514484631263;0.0;0.007036500017166077;0.00376514484631263;0.018867924528301886
58;halpern sd;0.005494505494505495;0.006329113924050633;0.0;0.02027027027027027;0.0;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.0369719384693142;0.0;0.006396475305540532;0.00369719384693142;0.02027027027027027
59;rodriguez-arias d;0.0;0.012658227848101266;0.005319148936170213;0.0;0.005747126436781609;0.0;0.0;0.0;0.004149377593360996;0.008547008547008548;0.0;0.036420889361422626;0.0;0.004461864474100807;0.0036420889361422626;0.012658227848101266
60;bruce cr;0.0;0.0;0.0;0.006756756756756757;0.0;0.018867924528301886;0.0;0.010752688172043012;0.0;0.0;0.0;0.036377369457101655;0.0;0.006539974005546544;0.0036377369457101655;0.018867924528301886
61;bruzzone p;0.005494505494505495;0.006329113924050633;0.005319148936170213;0.0;0.0;0.018867924528301886;0.0;0.0;0.0;0.0;0.0;0.03601069288302823;0.0;0.0060079779822059315;0.003601069288302823;0.018867924528301886
62;goldberg ds;0.0;0.0;0.0;0.0;0.0;0.0;0.014634146341463415;0.0;0.016597510373443983;0.004273504273504274;0.00641025641025641;0.03550516098841167;0.0;0.006513548127081856;0.003550516098841167;0.016597510373443983
