;authors;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
269;kodner ij;0;1;0;1;1;0;0;0;0;0;0;3;0;0.47;0.27;1
270;borry p;0;0;0;1;0;0;1;0;0;1;0;3;0;0.47;0.27;1
271;doshi md;0;0;0;0;0;0;0;0;1;1;1;3;0;0.47;0.27;1
272;krauth c;0;0;0;0;0;0;0;0;2;1;0;3;0;0.65;0.27;2
273;wiseman ac;0;0;0;0;0;0;0;2;1;0;0;3;0;0.65;0.27;2
274;slabbert m;0;0;1;0;0;0;0;0;0;0;2;3;0;0.65;0.27;2
275;guntram l;1;0;0;0;0;0;0;0;1;1;0;3;0;0.47;0.27;1
276;fung j;0;0;0;0;3;0;0;0;0;0;0;3;0;0.9;0.27;3
277;blake v;0;0;1;0;1;1;0;0;0;0;0;3;0;0.47;0.27;1
278;hall ie;0;0;0;0;0;0;0;0;1;1;1;3;0;0.47;0.27;1
279;parikh cr;0;0;0;0;0;0;0;0;1;1;1;3;0;0.47;0.27;1
280;keune jd;0;1;0;1;1;0;0;0;0;0;0;3;0;0.47;0.27;1
281;schroppel b;0;0;0;0;0;0;0;0;1;1;1;3;0;0.47;0.27;1
282;schmidt ah;1;2;0;0;0;0;0;0;0;0;0;3;0;0.65;0.27;2
283;weng fl;0;0;0;0;0;0;0;0;1;1;1;3;0;0.47;0.27;1
284;jia y;0;0;0;0;0;0;0;0;1;1;1;3;0;0.47;0.27;1
285;tibell a;0;0;0;1;0;0;1;0;1;0;0;3;0;0.47;0.27;1
286;bollen j;0;0;0;0;0;0;2;1;0;0;0;3;0;0.65;0.27;2
287;lewis p;0;0;0;0;0;0;1;1;1;0;0;3;0;0.47;0.27;1
288;schwarze ml;0;1;0;0;0;0;0;0;1;1;0;3;0;0.47;0.27;1
289;goldberg hj;0;0;0;0;0;0;0;0;0;2;1;3;0;0.65;0.27;2
290;wicklund c;0;0;0;0;0;0;0;0;1;2;0;3;0;0.65;0.27;2
291;chandler ja;0;0;1;0;0;0;0;1;0;0;1;3;0;0.47;0.27;1
292;corbett c;0;0;1;1;0;1;0;0;0;0;0;3;0;0.47;0.27;1
293;baker a;0;0;0;0;1;0;0;1;0;0;1;3;0;0.47;0.27;1
294;klarenbach s;0;0;1;1;1;0;0;0;0;0;0;3;0;0.47;0.27;1
295;luyckx va;0;0;0;0;0;0;0;1;0;0;2;3;0;0.65;0.27;2
296;hil g;1;1;0;0;0;1;0;0;0;0;0;3;0;0.47;0.27;1
