;lemmas;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
6193;marketplace;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6194;deleterious;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.01282051282051282;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6195;68.6;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6196;750;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6197;radiological;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6198;4.6;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6199;-8.1;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6200;credibility;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6201;113;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6202;relocate;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6203;impasse;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6204;flexible;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6205;analog;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6206;pad;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6207;0.61;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6208;vague;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6209;lense;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6210;optimum;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6211;0.79;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6212;2.33;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6213;progenitor;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6214;explant;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6215;circumvent;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
