;lemmas;df_1988;df_1989;df_1990;df_1991;df_1992;df_1993;df_1994;df_1995;df_1996;df_1997;df_1998;df_1999;df_2000;df_2001;df_2002;df_2003;df_2004;df_2005;df_2006;df_2007;df_2008;df_2009;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;df_2021;total;min;std;mean;max
51;quality;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;6.5;0.0;0.5854938345559502;0.19696969696969696;2.5
52;pomace;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3333333333333335;0.0;0.0;0.5;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;3.0;6.333333333333334;0.0;0.6707184323456569;0.19191919191919193;3.3333333333333335
53;technique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3333333333333333;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.5;0.0;0.0;6.333333333333333;0.0;0.5321621452354055;0.1919191919191919;2.0
54;parallel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.6666666666666665;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.333333333333333;0.0;0.692370640897709;0.1919191919191919;3.0
55;acquisition;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6666666666666665;3.3333333333333335;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.333333333333333;0.0;0.7313909077454135;0.1919191919191919;3.3333333333333335
56;<;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;6.333333333333333;0.0;0.5835136806350092;0.1919191919191919;2.0
57;conclusion;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;6.166666666666666;0.0;0.3674177339838011;0.18686868686868685;1.0
58;drinking;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;6.0;0.0;0.5276448530110863;0.18181818181818182;2.0
59;italy;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.48117989453954835;0.18181818181818182;2.0
60;g;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.7160894433721887;0.18181818181818182;4.0
61;image;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.6351449369310055;0.18181818181818182;3.0
62;2-butanol;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;6.0;0.0;1.044465935734187;0.18181818181818182;6.0
